School_name ,school_type,city ,zipcode,class_range, total_students ,student_teacher_ratio, nat_rank ,az_rank,female_students,female_students_percent,district_female_students,district_female_students_percent,male_students,male_students_percent,district_male_students,district_male_students_percent,white_students,white_students_percent,district_white_students,district_white_students_percent,hispanic_students,hispanic_students_percent,district_hispanic_students,district_hispanic_students_percent,asian_students,asian_students_percent,district_asian_students,district_asian_students_percent,two_or_moreR_students,two_or_moreR_students_percent,district_two_or_moreR_students,district_two_or_moreR_students_percent,black,black_percent,district_black,district_black_percent,pacific_islander,pacific_islander_percent,district_pacific_islander,district_pacific_islander_percent,american_indian,american_indian_percent,district_american_indian,district_american_indian_percent,lunch_assist_not_eligible,lunch_assist_not_eligible_percent,district_lunch_assist_not_eligible,district_lunch_assist_not_eligible_percent,lunch_assist_red_price,lunch_assist_red_price_percent,district_lunch_assist_red_price,district_lunch_assist_red_price_percent,lunch_assist_free,lunch_assist_free_percent,district_lunch_assist_free,district_lunch_assist_free_percent,nearby_schools_dict
Franklin Police and Fire High School,Public,Phoenix,85007,09 - 12,322,10.4:1,"14,216th out of 26,089",256th out of 659,177,55%,"13,923",52%,145,45%,"13,090",48%,290,90%,"21,951",81%,21,7%,"1,238",5%,5,2%,"2,312",9%,3,1%,356,1%,2,1%,440,2%,1,0%,654,2%,0,0%,62,0%,250,(78%),"21,461",79%,38,(12%),"1,949",7%,34,(11%),"3,603",13%,"{'Metro Tech High School': '2 miles', 'Phoenix Union Bioscience High School': '2 miles', 'Phoenix Christian Preparatory School': '2 miles', 'St Marys High School': '2 miles', 'Suns-Diamondbacks Education Academy': '2 miles', 'Tumbleweed Transitional Learning Center': '3 miles', 'Carl Hayden High School': '3 miles', 'North High School': '3 miles', 'Southwest Key Transitional Learning Center': '3 miles', 'Central High School': '3 miles'}"
Gateway Early College High School,Public,Phoenix,85034,09 - 12,254,-1:1,"15,846th out of 26,089",277th out of 659,138,54%,138,54%,116,46%,116,46%,216,85%,216,85%,18,7%,18,7%,13,5%,13,5%,4,2%,4,2%,1,0%,1,0%,1,0%,1,0%,1,0%,1,0%,205,(81%),205,81%,28,(11%),28,11%,21,(8%),21,8%,"{'Scottsdale Online Learning': '4 miles', 'Arcadia High School': '4 miles', 'Suns-Diamondbacks Education Academy': '5 miles', 'Phoenix Country Day School': '5 miles', 'Coronado High School': '5 miles', 'St Marys High School': '5 miles', 'Tempe High School': '5 miles', 'Camelback High School': '5 miles', 'Phoenix Union Bioscience High School': '5 miles', 'North High School': '5 miles'}"
Genesis Academy,Public,Phoenix,85004,09 - 12,119,-1:1,"19,723rd out of 26,089",383rd out of 659,64,54%,64,54%,55,46%,55,46%,105,88%,105,88%,6,5%,6,5%,4,3%,4,3%,3,3%,3,3%,1,1%,1,1%,0,0%,0,0%,0,0%,0,0%,87,(73%),87,73%,32,(27%),32,27%,0,(0%),0,0%,"{'Phoenix Union Bioscience High School': '1 miles', 'St Marys High School': '1 miles', 'Suns-Diamondbacks Education Academy': '2 miles', 'North High School': '2 miles', 'Franklin Police and Fire High School': '2 miles', 'Xavier College Preparatory': '3 miles', 'Brophy College Preparatory': '3 miles', 'Phoenix Christian Preparatory School': '3 miles', 'Central High School': '3 miles', 'Tumbleweed Transitional Learning Center': '3 miles'}"
Girls Leadership Academy of Arizona,Public,Phoenix,85013,09 - 12,120,-1:1,"19,693rd out of 26,089",381st out of 659,120,100%,120,100%,0,0%,0,0%,91,76%,91,76%,18,15%,18,15%,6,5%,6,5%,2,2%,2,2%,2,2%,2,2%,1,1%,1,1%,0,0%,0,0%,93,(78%),93,78%,14,(12%),14,12%,13,(11%),13,11%,"{'Osborn Middle School': '1 miles', 'Central High School': '1 miles', 'Xavier College Preparatory': '1 miles', 'Brophy College Preparatory': '1 miles', 'Valley Lutheran High School': '1 miles', 'Tumbleweed Transitional Learning Center': '1 miles', 'Southwest Key Transitional Learning Center': '2 miles', 'Phoenix Christian Preparatory School': '2 miles', 'Suns-Diamondbacks Education Academy': '3 miles', 'Bostrom Alternative Center': '3 miles'}"
Glenview College Preparatory High School,Public,Phoenix,85020,09 - 12,193,-1:1,"17,455th out of 26,089",321st out of 659,97,50%,180,54%,96,50%,152,46%,143,74%,230,69%,24,12%,50,15%,19,10%,41,12%,3,2%,3,1%,2,1%,3,1%,2,1%,5,2%,0,0%,0,0%,159,(82%),250,75%,21,(11%),53,16%,13,(7%),29,9%,"{'Palo Verde Middle School': '1 miles', 'High-Star Center for Children': '1 miles', 'Apollo High School': '2 miles', 'Alhambra High School': '2 miles', 'Washington High School': '3 miles', 'Bourgade Catholic High School': '3 miles', 'West-Mec - Central Campus': '3 miles', 'Southwest Key Transitional Learning Center': '3 miles', 'Cortez High School': '3 miles', 'Metrocenter Academy': '4 miles'}"
Gompers Private School,Private,Phoenix,85017,04 - 12,22,11:1,"6,647th out of 7,602",65th out of 74,15,68%,"5,675",48%,7,32%,"6,260",52%,10,45%,"1,856",16%,6,27%,"7,443",65%,5,23%,619,5%,1,5%,131,1%,0,0%,623,5%,0,0%,34,0%,0,0%,699,6%,,,,,,,,,,,,,"{'Washington High School': '1 miles', 'Palo Verde Middle School': '2 miles', 'Apollo High School': '3 miles', 'Phoenix Christian Preparatory School': '3 miles', 'Valley Lutheran High School': '3 miles', 'High-Star Center for Children': '3 miles', 'Bourgade Catholic High School': '3 miles', 'Metrocenter Academy': '3 miles', 'Osborn Middle School': '3 miles', 'Cortez High School': '3 miles'}"
Great Hearts Academies - Archway Veritas,Public,Phoenix,85018,KG - 12,536,-1:1,Unranked,Unknown,285,53%,285,53%,251,47%,251,47%,413,77%,413,77%,56,10%,56,10%,33,6%,33,6%,24,4%,24,4%,6,1%,6,1%,4,1%,4,1%,0,0%,0,0%,,,536,100%,,,0,0%,,,0,0%,"{'Scottsdale Online Learning': '2 miles', 'Arcadia High School': '2 miles', 'Phoenix Country Day School': '3 miles', 'Coronado High School': '3 miles', 'Camelback High School': '4 miles', 'Ville De Marie Academy': '4 miles', 'Saguaro High School': '5 miles', 'North High School': '6 miles', 'Suns-Diamondbacks Education Academy': '6 miles', 'Tempe High School': '6 miles'}"
Great Hearts Academies - North Phoenix Prep,Public,Phoenix,85022,KG - 10,352,-1:1,"13,582nd out of 26,089",245th out of 659,182,52%,182,52%,170,48%,170,48%,251,71%,251,71%,52,15%,52,15%,24,7%,24,7%,14,4%,14,4%,8,2%,8,2%,3,1%,3,1%,0,0%,0,0%,,,352,100%,,,0,0%,,,0,0%,"{'Paradise Valley Christian Preparatory': '1 miles', 'Pvonline': '2 miles', 'Greenway Middle School': '2 miles', 'Shadow Mountain High School': '2 miles', 'Shea Middle School': '2 miles', 'Sweetwater Community School': '3 miles', 'Vista Verde Middle School': '3 miles', 'Roadrunner School': '3 miles', 'Scottsdale Christian Academy': '4 miles', 'North Canyon High School': '4 miles'}"
Great Hearts Academies - Teleos Prep,Public,Phoenix,85034,KG - 12,216,-1:1,Unranked,Unknown,111,51%,111,51%,105,49%,105,49%,95,44%,95,44%,91,42%,91,42%,13,6%,13,6%,9,4%,9,4%,4,2%,4,2%,3,1%,3,1%,1,0%,1,0%,118,(55%),118,55%,67,(31%),67,31%,31,(14%),31,14%,"{'Phoenix Union Bioscience High School': '2 miles', 'North High School': '3 miles', 'St Marys High School': '3 miles', 'Franklin Police and Fire High School': '3 miles', 'Suns-Diamondbacks Education Academy': '3 miles', 'South Mountain High School': '4 miles', 'Metro Tech High School': '4 miles', 'Tumbleweed Transitional Learning Center': '4 miles', 'Valley Lutheran High School': '5 miles', '91st Psalm Christian School': '5 miles'}"
Great Hearts Academies - Veritas Prep,Public,Phoenix,85018,06 - 12,709,-1:1,"8,185th out of 26,089",164th out of 659,369,52%,369,52%,340,48%,340,48%,541,76%,541,76%,115,16%,115,16%,21,3%,21,3%,14,2%,14,2%,9,1%,9,1%,7,1%,7,1%,2,0%,2,0%,,,709,100%,,,0,0%,,,0,0%,"{'Scottsdale Online Learning': '2 miles', 'Arcadia High School': '2 miles', 'Phoenix Country Day School': '3 miles', 'Coronado High School': '3 miles', 'Camelback High School': '4 miles', 'Ville De Marie Academy': '4 miles', 'Saguaro High School': '5 miles', 'North High School': '6 miles', 'Suns-Diamondbacks Education Academy': '6 miles', 'Tempe High School': '6 miles'}"
Greenway High School,Public,Phoenix,85053,09 - 12,"1,429",21:1,"3,646th out of 26,089",108th out of 659,752,53%,"7,831",51%,677,47%,"7,621",49%,842,59%,"4,471",29%,415,29%,"8,564",55%,68,5%,"1,311",8%,52,4%,487,3%,34,2%,388,3%,17,1%,204,1%,1,0%,27,0%,820,(57%),"5,699",37%,493,(34%),"8,649",56%,116,(8%),"1,104",7%,"{'Desert Foothills Middle School': '1 miles', 'Northwest Christian School': '1 miles', 'Gary K. Herberger Young Scholars Academy': '2 miles', 'Desert Sky Middle School': '3 miles', 'Arrowhead Christian Academy': '3 miles', 'Deer Valley High School': '3 miles', 'Moon Valley High School': '3 miles', 'Cactus High School': '3 miles', 'Thunderbird High School': '3 miles', 'Mountain Sky Middle School': '4 miles'}"
Greenway Middle School,Public,Phoenix,85032,07 - 08,499,19.4:1,Unranked,Unknown,251,50%,"7,796",52%,248,50%,"7,184",48%,407,82%,"4,320",29%,48,10%,"8,983",60%,22,4%,487,3%,8,2%,442,3%,8,2%,158,1%,3,1%,30,0%,3,1%,560,4%,362,(73%),"3,231",22%,108,(22%),"11,173",75%,29,(6%),576,4%,"{'Pvonline': '1 miles', 'Vista Verde Middle School': '2 miles', 'Sweetwater Community School': '2 miles', 'Paradise Valley High School': '2 miles', 'North Canyon High School': '3 miles', 'Scottsdale Christian Academy': '3 miles', 'Paradise Valley Christian Preparatory': '3 miles', 'Shea Middle School': '3 miles', 'Shadow Mountain High School': '3 miles', 'Sunrise Middle School': '3 miles'}"
High-Star Center for Children,Private,Phoenix,85019,01 - 09,100,14:1,"4,157th out of 7,602",39th out of 74,56,56%,"5,639",48%,44,44%,"6,224",52%,85,85%,"7,397",65%,12,12%,"1,847",16%,3,3%,619,5%,0,0%,621,5%,0,0%,34,0%,0,0%,684,6%,0,0%,131,1%,,,,,,,,,,,,,"{'Alhambra High School': '2 miles', 'Bourgade Catholic High School': '2 miles', 'Palo Verde Middle School': '2 miles', 'West-Mec - Central Campus': '3 miles', 'Apollo High School': '3 miles', 'Southwest Key Transitional Learning Center': '3 miles', 'Glendale High School': '3 miles', 'Washington High School': '3 miles', 'Bostrom Alternative Center': '3 miles', 'Maryvale High School': '3 miles'}"
Holy Cross Lutheran School,Private,Phoenix,85023,02 - 09,7,6:1,"7,407th out of 7,602",74th out of 74,4,57%,"5,675",48%,3,43%,"6,260",52%,5,71%,"1,856",16%,1,14%,"7,443",65%,1,14%,699,6%,0,0%,623,5%,0,0%,34,0%,0,0%,619,5%,0,0%,131,1%,,,,,,,,,,,,,"{'Thunderbird High School': '1 miles', 'Mountain Sky Middle School': '2 miles', 'Desert Foothills Middle School': '3 miles', 'Moon Valley High School': '3 miles', 'Vista Peak': '4 miles', 'Northwest Christian School': '4 miles', 'Paradise Valley Christian Preparatory': '4 miles', 'Accel': '4 miles', 'Cortez High School': '4 miles', 'Greenway High School': '4 miles'}"
Hope High School,Public,Phoenix,85043,09 - 12,198,-1:1,"17,304th out of 26,089",315th out of 659,111,56%,174,47%,87,44%,195,53%,145,73%,216,59%,40,20%,47,13%,10,5%,88,24%,2,1%,9,2%,1,1%,3,1%,0,0%,0,0%,0,0%,6,2%,133,(67%),191,52%,51,(26%),145,39%,14,(7%),33,9%,"{'Tolleson Union High School': '3 miles', 'University High School': '3 miles', 'Sierra Linda High School': '4 miles', 'Trevor Browne High School': '5 miles', 'Betty Fairfax High School': '5 miles', 'La Joya Community High School': '5 miles', 'Maryvale High School': '5 miles', 'Durango Transitional Learning Center': '6 miles', 'Cesar Chavez High School': '6 miles', 'Carl Hayden High School': '6 miles'}"
Horizon Community Learning Center,Public,Phoenix,85048,KG - 12,689,-1:1,"8,400th out of 26,089",168th out of 659,365,53%,365,53%,324,47%,324,47%,462,67%,462,67%,121,18%,121,18%,39,6%,39,6%,35,5%,35,5%,23,3%,23,3%,8,1%,8,1%,1,0%,1,0%,686,(100%),686,100%,3,(0%),3,0%,0,(0%),0,0%,"{'Valley Christian High School': '2 miles', 'Desert Vista High School': '3 miles', 'Desert Garden Montessori': '3 miles', 'Mountain Pointe High School': '3 miles', 'Corona Del Sol High School': '4 miles', 'Compadre High School': '5 miles', 'Marcos De Niza High School': '6 miles', 'Arizona Cultural Academy & College Prep': '6 miles', 'Tri-City Christian Academy': '6 miles', 'Seton Catholic Preparatory High School': '6 miles'}"
Humanities and Sciences High School - Phoenix,Public,Phoenix,85014,09 - 12,11,-1:1,"24,998th out of 26,089",558th out of 659,6,55%,253,46%,5,45%,299,54%,9,82%,442,80%,2,18%,48,9%,0,0%,5,1%,0,0%,0,0%,0,0%,41,7%,0,0%,0,0%,0,0%,16,3%,,,545,99%,,,0,0%,,,7,1%,"{'Central High School': '1 miles', 'Brophy College Preparatory': '1 miles', 'Xavier College Preparatory': '1 miles', 'Tumbleweed Transitional Learning Center': '2 miles', 'Osborn Middle School': '2 miles', 'Valley Lutheran High School': '2 miles', 'St Marys High School': '3 miles', 'Phoenix Christian Preparatory School': '3 miles', 'North High School': '3 miles', 'Suns-Diamondbacks Education Academy': '3 miles'}"
Intelli-School - Metro Center,Public,Phoenix,85029,09 - 12,111,-1:1,"20,045th out of 26,089",398th out of 659,63,57%,100,47%,48,43%,113,53%,65,59%,98,46%,28,25%,86,40%,10,9%,11,5%,7,6%,13,6%,1,1%,1,0%,0,0%,2,1%,0,0%,2,1%,68,(61%),123,58%,33,(30%),71,33%,10,(9%),19,9%,"{'Metrocenter Academy': '1 miles', 'Accel': '1 miles', 'Moon Valley High School': '2 miles', 'Cortez High School': '2 miles', 'Desert Foothills Middle School': '3 miles', 'Gary K. Herberger Young Scholars Academy': '3 miles', 'Thunderbird High School': '3 miles', 'Apollo High School': '3 miles', 'Palo Verde Middle School': '3 miles', 'Sunnyslope High School': '4 miles'}"
Intelli-School - Paradise Valley,Public,Phoenix,85022,09 - 12,87,-1:1,"21,008th out of 26,089",424th out of 659,48,55%,48,55%,39,45%,39,45%,45,52%,45,52%,32,37%,32,37%,5,6%,5,6%,2,2%,2,2%,2,2%,2,2%,1,1%,1,1%,0,0%,0,0%,45,(52%),45,52%,38,(44%),38,44%,4,(5%),4,5%,"{'North Canyon High School': '2 miles', 'Mountain Sky Middle School': '2 miles', 'Vista Verde Middle School': '3 miles', 'Vista Peak': '3 miles', 'Greenway Middle School': '3 miles', 'Pvonline': '3 miles', 'Thunderbird High School': '3 miles', 'Pinnacle High School': '4 miles', 'Paradise Valley Christian Preparatory': '4 miles', 'Mountain Trail Middle School': '4 miles'}"
International Commerce High School - Phoenix,Public,Phoenix,85014,09 - 12,541,-1:1,"10,141st out of 26,089",186th out of 659,294,54%,299,54%,247,46%,253,46%,433,80%,442,80%,46,9%,48,9%,41,8%,41,7%,16,3%,16,3%,5,1%,5,1%,0,0%,0,0%,0,0%,0,0%,534,(99%),545,99%,7,(1%),7,1%,0,(0%),0,0%,"{'Central High School': '1 miles', 'Brophy College Preparatory': '1 miles', 'Xavier College Preparatory': '1 miles', 'Tumbleweed Transitional Learning Center': '2 miles', 'Osborn Middle School': '2 miles', 'Valley Lutheran High School': '2 miles', 'St Marys High School': '3 miles', 'Phoenix Christian Preparatory School': '3 miles', 'North High School': '3 miles', 'Suns-Diamondbacks Education Academy': '3 miles'}"
Kaizen Education Foundation Dba Maya High School,Public,Phoenix,85051,09 - 12,378,-1:1,"13,045th out of 26,089",236th out of 659,230,61%,230,61%,148,39%,148,39%,251,66%,251,66%,52,14%,52,14%,48,13%,48,13%,10,3%,10,3%,10,3%,10,3%,7,2%,7,2%,0,0%,0,0%,373,(99%),373,99%,3,(1%),3,1%,2,(1%),2,1%,"{'Palo Verde Middle School': '1 miles', 'Apollo High School': '2 miles', 'High-Star Center for Children': '2 miles', 'Cortez High School': '2 miles', 'Washington High School': '2 miles', 'Accel': '3 miles', 'Alhambra High School': '3 miles', 'Bourgade Catholic High School': '3 miles', 'Southwest Key Transitional Learning Center': '3 miles', 'Metrocenter Academy': '3 miles'}"
Kaizen Education Foundation Dba Quest High School,Public,Phoenix,85042,09 - 12,49,-1:1,"22,682nd out of 26,089",477th out of 659,31,63%,31,63%,18,37%,18,37%,39,80%,39,80%,7,14%,7,14%,2,4%,2,4%,1,2%,1,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,35,(71%),35,71%,11,(22%),11,22%,3,(6%),3,6%,"{'South Mountain High School': '2 miles', '91st Psalm Christian School': '2 miles', 'Arizona Lutheran Academy': '3 miles', 'Cesar Chavez High School': '5 miles', 'Arizona Cultural Academy & College Prep': '5 miles', 'Durango Transitional Learning Center': '5 miles', 'Mountain Pointe High School': '6 miles', 'Phoenix Union Bioscience High School': '6 miles', 'Betty Fairfax High School': '7 miles', 'Franklin Police and Fire High School': '7 miles'}"
Kaizen Education Foundation Dba Summit High School,Public,Phoenix,85006,09 - 12,358,-1:1,"13,466th out of 26,089",243rd out of 659,205,57%,205,57%,153,43%,153,43%,282,79%,282,79%,35,10%,35,10%,22,6%,22,6%,11,3%,11,3%,4,1%,4,1%,2,1%,2,1%,2,1%,2,1%,355,(99%),355,99%,3,(1%),3,1%,0,(0%),0,0%,"{'Phoenix Union Bioscience High School': '1 miles', 'North High School': '1 miles', 'St Marys High School': '1 miles', 'Franklin Police and Fire High School': '2 miles', 'Suns-Diamondbacks Education Academy': '2 miles', 'Phoenix Christian Preparatory School': '3 miles', 'Xavier College Preparatory': '3 miles', 'Metro Tech High School': '3 miles', 'Brophy College Preparatory': '3 miles', 'Central High School': '3 miles'}"
Keystone Montessori Charter School,Public,Phoenix,85048,01 - 09,235,-1:1,"16,303rd out of 26,089",286th out of 659,123,52%,123,52%,112,48%,112,48%,145,62%,145,62%,52,22%,52,22%,16,7%,16,7%,16,7%,16,7%,6,3%,6,3%,0,0%,0,0%,0,0%,0,0%,,,235,100%,,,0,0%,,,0,0%,"{'Desert Vista High School': '3 miles', 'Mountain Pointe High School': '5 miles', 'Valley Christian High School': '6 miles', '91st Psalm Christian School': '6 miles', 'Desert Garden Montessori': '6 miles', 'Arizona Cultural Academy & College Prep': '7 miles', 'South Mountain High School': '7 miles', 'Cesar Chavez High School': '8 miles', 'Arizona Lutheran Academy': '8 miles', 'Compadre High School': '9 miles'}"
Learning Institute the,Public,Phoenix,85014,07 - 12,130,-1:1,"19,327th out of 26,089",368th out of 659,70,54%,70,54%,60,46%,60,46%,83,64%,83,64%,31,24%,31,24%,7,5%,7,5%,6,5%,6,5%,3,2%,3,2%,0,0%,0,0%,0,0%,0,0%,94,(72%),94,72%,36,(28%),36,28%,0,(0%),0,0%,"{'Xavier College Preparatory': '1 miles', 'Osborn Middle School': '2 miles', 'Valley Lutheran High School': '2 miles', 'Brophy College Preparatory': '2 miles', 'Central High School': '2 miles', 'North High School': '3 miles', 'Suns-Diamondbacks Education Academy': '3 miles', 'Tumbleweed Transitional Learning Center': '3 miles', 'Camelback High School': '3 miles', 'Phoenix Christian Preparatory School': '3 miles'}"
Life Skills Center of Arizona,Public,Phoenix,85051,09 - 12,183,-1:1,"17,743rd out of 26,089",328th out of 659,98,54%,98,54%,85,46%,85,46%,112,61%,112,61%,33,18%,33,18%,27,15%,27,15%,5,3%,5,3%,4,2%,4,2%,1,1%,1,1%,1,1%,1,1%,118,(64%),118,64%,46,(25%),46,25%,19,(10%),19,10%,"{'Palo Verde Middle School': '1 miles', 'Cortez High School': '1 miles', 'Accel': '2 miles', 'Metrocenter Academy': '2 miles', 'Apollo High School': '2 miles', 'Washington High School': '3 miles', 'High-Star Center for Children': '3 miles', 'Moon Valley High School': '3 miles', 'Sunnyslope High School': '4 miles', 'Glendale High School': '4 miles'}"
Madison Highland Prep,Public,Phoenix,85014,09 - 11,248,-1:1,"15,985th out of 26,089",280th out of 659,146,59%,146,59%,102,41%,102,41%,132,53%,132,53%,79,32%,79,32%,14,6%,14,6%,10,4%,10,4%,9,4%,9,4%,4,2%,4,2%,0,0%,0,0%,122,(49%),122,49%,95,(38%),95,38%,31,(13%),31,13%,"{'Central High School': '2 miles', 'Camelback High School': '2 miles', 'Valley Lutheran High School': '2 miles', 'Brophy College Preparatory': '2 miles', 'Xavier College Preparatory': '2 miles', 'Suns-Diamondbacks Education Academy': '2 miles', 'North High School': '2 miles', 'Osborn Middle School': '3 miles', 'Tumbleweed Transitional Learning Center': '3 miles', 'St Marys High School': '3 miles'}"
Maryvale High School,Public,Phoenix,85033,09 - 12,"2,991",21.5:1,"273rd out of 26,089",14th out of 659,"1,503",50%,"13,090",48%,"1,488",50%,"13,923",52%,"2,737",92%,"21,951",81%,122,4%,"2,312",9%,78,3%,"1,238",5%,33,1%,654,2%,12,0%,356,1%,7,0%,440,2%,2,0%,62,0%,"2,389",(80%),"21,461",79%,409,(14%),"3,603",13%,193,(6%),"1,949",7%,"{'West-Mec - Central Campus': '2 miles', 'Trevor Browne High School': '2 miles', 'High-Star Center for Children': '3 miles', 'Alhambra High School': '3 miles', 'Glendale High School': '4 miles', 'Independence High School': '4 miles', 'Carl Hayden High School': '4 miles', 'Bostrom Alternative Center': '4 miles', 'Bourgade Catholic High School': '4 miles', 'Southwest Key Transitional Learning Center': '5 miles'}"
Metro Tech High School,Public,Phoenix,85015,09 - 12,"1,716",14.3:1,"2,497th out of 26,089",89th out of 659,965,56%,"13,090",48%,751,44%,"13,923",52%,"1,648",96%,"21,951",81%,34,2%,"1,238",5%,17,1%,"2,312",9%,7,0%,654,2%,5,0%,440,2%,4,0%,356,1%,1,0%,62,0%,"1,454",(85%),"21,461",79%,145,(8%),"1,949",7%,117,(7%),"3,603",13%,"{'Phoenix Christian Preparatory School': '1 miles', 'Franklin Police and Fire High School': '2 miles', 'St Marys High School': '2 miles', 'Bostrom Alternative Center': '2 miles', 'Osborn Middle School': '2 miles', 'Southwest Key Transitional Learning Center': '2 miles', 'Tumbleweed Transitional Learning Center': '2 miles', 'Suns-Diamondbacks Education Academy': '3 miles', 'Central High School': '3 miles', 'Carl Hayden High School': '3 miles'}"
Metrocenter Academy,Public,Phoenix,85051,09 - 12,162,13.5:1,"18,313th out of 26,089",337th out of 659,95,59%,"7,831",51%,67,41%,"7,621",49%,92,57%,"8,564",55%,42,26%,"4,471",29%,14,9%,"1,311",8%,8,5%,388,3%,5,3%,204,1%,1,1%,487,3%,0,0%,27,0%,144,(89%),"5,699",37%,15,(9%),"8,649",56%,3,(2%),"1,104",7%,"{'Cortez High School': '1 miles', 'Accel': '1 miles', 'Moon Valley High School': '2 miles', 'Palo Verde Middle School': '3 miles', 'Washington High School': '3 miles', 'Sunnyslope High School': '3 miles', 'Apollo High School': '3 miles', 'Gary K. Herberger Young Scholars Academy': '4 miles', 'Greenway High School': '4 miles', 'Desert Foothills Middle School': '4 miles'}"
